Name,Attr,Roles,Winrate,Tier
Abaddon,Uni,"Support;Offlane",50.2,B
Alchemist,Str,"Safe;Mid",49.5,B
Ancient_Apparition,Int,"Support",51.2,A
Anti_Mage,Agi,"Safe",48.5,C
Arc_Warden,Agi,"Mid",52.1,A
Axe,Str,"Offlane",50.1,B
Bane,Uni,"Support",49.8,B
Batrider,Uni,"Mid;Offlane",47.2,C
Beastmaster,Uni,"Offlane",48.9,C
Bloodseeker,Agi,"Safe;Offlane",49.1,B
Bounty_Hunter,Agi,"Support;Roam",50.8,B
Brewmaster,Uni,"Offlane",51.5,A
Bristleback,Str,"Offlane;Safe",50.3,B
Broodmother,Uni,"Offlane;Mid",53.2,S
Centaur_Warrunner,Str,"Offlane",52.5,A
Chaos_Knight,Str,"Safe;Offlane",51.8,A
Chen,Uni,"Support;Roam",46.5,C
Clinkz,Agi,"Safe;Mid",50.1,B
Clockwerk,Str,"Support;Roam",49.7,B
Crystal_Maiden,Int,"Support",52.3,A
Dark_Seer,Uni,"Offlane",51.1,A
Dark_Willow,Uni,"Support",49.3,B
Dawnbreaker,Str,"Offlane;Safe",50.5,B
Dazzle,Uni,"Support;Mid",48.7,C
Death_Prophet,Int,"Mid",50.2,B
Disruptor,Int,"Support",51.0,A
Doom,Str,"Offlane",47.9,C
Dragon_Knight,Str,"Mid;Offlane",51.3,A
Drow_Ranger,Agi,"Safe",49.6,B
Earth_Spirit,Str,"Support;Roam",46.8,C
Earthshaker,Str,"Support;Roam",50.4,B
Elder_Titan,Str,"Support;Offlane",53.5,S
Ember_Spirit,Agi,"Mid;Safe",48.2,C
Enchantress,Int,"Support;Offlane",47.6,C
Enigma,Uni,"Offlane;Support",50.9,B
Faceless_Void,Agi,"Safe",53.1,S
Grimstroke,Int,"Support",49.0,B
Gyrocopter,Agi,"Safe;Support",48.8,C
Hoodwink,Agi,"Support;Roam",50.6,B
Huskar,Str,"Mid",49.2,B
Invoker,Uni,"Mid",50.5,B
Io,Uni,"Support",47.1,C
Jakiro,Int,"Support",51.7,A
Juggernaut,Agi,"Safe",50.9,B
Keeper_of_the_Light,Int,"Support;Mid",49.4,B
Kunkka,Str,"Mid;Offlane",50.3,B
Legion_Commander,Str,"Offlane",51.2,A
Leshrac,Int,"Mid;Support",48.1,C
Lich,Int,"Support",51.4,A
Lifestealer,Str,"Safe",52.2,A
Lina,Int,"Mid;Support",50.7,B
Lion,Int,"Support",49.1,B
Lone_Druid,Uni,"Safe;Mid",48.6,C
Luna,Agi,"Safe",51.6,A
Lycan,Uni,"Offlane;Safe",50.8,B
Magnus,Uni,"Offlane;Mid",49.9,B
Marci,Uni,"Support;Safe",48.4,C
Mars,Str,"Offlane",49.2,B
Medusa,Agi,"Safe",51.9,A
Meepo,Agi,"Mid;Safe",52.8,A
Mirana,Uni,"Support;Roam",49.0,B
Monkey_King,Agi,"Mid;Safe",48.7,C
Morphling,Agi,"Safe;Mid",47.5,C
Muerta,Agi,"Safe;Mid",49.3,B
Naga_Siren,Agi,"Safe",51.1,A
Natures_Prophet,Int,"Offlane;Support",46.2,C
Necrophos,Int,"Offlane;Mid",52.0,A
Night_Stalker,Str,"Offlane",51.6,A
Nyx_Assassin,Uni,"Support;Roam",48.3,C
Ogre_Magi,Str,"Support;Offlane",50.6,B
Omniknight,Str,"Support;Offlane",49.5,B
Oracle,Int,"Support",48.9,C
Outworld_Destroyer,Int,"Mid",51.4,A
Pangolier,Uni,"Mid;Offlane",47.8,C
Phantom_Assassin,Agi,"Safe",49.9,B
Phantom_Lancer,Agi,"Safe",50.4,B
Phoenix,Str,"Support;Offlane",51.0,A
Primal_Beast,Str,"Offlane;Mid",50.7,B
Puck,Int,"Mid",51.5,A
Pudge,Str,"Support;Offlane",50.2,B
Pugna,Int,"Support;Mid",49.6,B
Queen_of_Pain,Int,"Mid",48.8,C
Razor,Agi,"Safe;Offlane",50.1,B
Riki,Agi,"Safe;Roam",51.3,A
Rubick,Int,"Support",46.9,C
Sand_King,Uni,"Offlane",52.1,A
Shadow_Demon,Int,"Support",48.2,C
Shadow_Fiend,Agi,"Mid",51.7,A
Shadow_Shaman,Int,"Support",50.8,B
Silencer,Int,"Support;Mid",49.4,B
Skywrath_Mage,Int,"Support",49.7,B
Slardar,Str,"Offlane",52.4,A
Slark,Agi,"Safe",50.9,B
Snapfire,Uni,"Support;Mid",50.0,B
Sniper,Agi,"Mid;Safe",50.5,B
Spectre,Agi,"Safe",51.8,A
Spirit_Breaker,Str,"Support;Roam",51.0,A
Storm_Spirit,Int,"Mid",49.9,B
Sven,Str,"Safe;Support",49.6,B
Techies,Uni,"Support",48.5,C
Templar_Assassin,Agi,"Mid;Safe",50.8,B
Terrorblade,Agi,"Safe",47.3,C
Tidehunter,Str,"Offlane",51.2,A
Timbersaw,Str,"Offlane;Mid",49.5,B
Tinker,Int,"Mid",46.0,C
Tiny,Str,"Mid;Roam",50.3,B
Treant_Protector,Str,"Support",52.7,A
Troll_Warlord,Agi,"Safe",50.1,B
Tusk,Str,"Support;Roam",49.2,B
Underlord,Str,"Offlane",52.6,A
Undying,Str,"Support",51.9,A
Ursa,Agi,"Safe",51.5,A
Vengeful_Spirit,Uni,"Support",52.0,A
Venomancer,Uni,"Support;Offlane",50.4,B
Viper,Agi,"Mid;Offlane",51.1,A
Visage,Int,"Support;Mid",52.3,A
Void_Spirit,Uni,"Mid",48.7,C
Warlock,Int,"Support",51.6,A
Weaver,Uni,"Safe;Support",50.9,B
Windranger,Uni,"Mid;Support",49.8,B
Winter_Wyvern,Uni,"Support",50.2,B
Witch_Doctor,Int,"Support",52.4,A
Wraith_King,Str,"Safe;Offlane",51.7,A
Zeus,Int,"Mid",51.3,A
Ringmaster,Uni,"Support",51.2,A
Largo,Str,"Offlane;Safe",52.4,A
